ユーザー名,投稿内容,投稿時間,タグ,いいね数,緯度,経度,位置情報名
匿名,強欲なのはわかっているけど4号館の方にもエレベーターが欲しいです。,2025/12/19 21:06,,1,,,
匿名,校則を以前のように戻すべきだと思う 校則を守れてない状態で緩めても意味ない,2025/12/19 16:04,,1,,,
匿名,万博みたいなでっかいエスカレーターがほしい,2025/12/19 16:03,,1,,,
H1932山村王,バスの混雑についての解決策 バス待機列用の丈夫なロープを設置する,2025/12/19 16:03,,1,,,
匿名,食堂をセルフレジ化,2025/12/19 16:02,,1,,,
匿名,バスの混雑について,2025/12/19 15:56,,0,,,
匿名,バス停の順番抜かし,2025/12/19 15:56,,0,,,
匿名,行事に関して,2025/12/19 15:53,,0,,,
匿名,図書室の開放時間を延ばしていただきたいです、、！,2025/12/19 15:47,,1,,,
匿名,バスが混んでいる,2025/12/19 15:39,,0,,,
匿名,朝のバスでまだ入れるのに入ろうとしない,2025/12/19 15:39,,1,,,
匿名,バスを抜かさないでほしい,2025/12/19 15:38,,0,,,
匿名,私服OK,2025/12/19 14:39,,0,,,
匿名,遠すぎるから保健室が高校棟にほしい,2025/12/19 14:14,,1,,,
匿名,昼休みに校外に出れるようにしてほしい,2025/12/19 9:26,,0,,,
匿名,女子更衣室が臭すぎて苦痛。臭いをどうにかしてほしい。,2025/12/19 9:17,,3,,,
匿名,アイス自動販売機がないこと（もうすぐ作られることを楽しみにしてます）,2025/12/19 0:26,,2,,,
匿名,学食の混雑緩和,2025/12/18 21:58,,1,,,
匿名,電子レンジの数を増やして欲しい,2025/12/18 19:43,,3,,,
匿名,ハニワおっけーしてほしい,2025/12/18 18:39,,0,,,
匿名,FTの自習室毎日あけてほしい 日曜日が基本的に空いてない,2025/12/7 14:19,,2,,,
匿名,食堂の代表待ちを禁止して欲しい,2025/12/7 0:19,,0,,,
匿名,バスの列,2025/12/4 13:26,,0,,,
匿名,バスの順番抜かし,2025/12/3 14:43,,0,,,
匿名,学生寮を作ってほしい,2025/12/3 14:42,,8,,,
匿名,iPadの規制を厳しくするべきだ,2025/12/3 14:42,,0,,,
匿名,食堂の回転率です,2025/12/3 14:37,,0,,,
匿名,バス待ちが長い,2025/12/3 14:35,,0,,,
匿名,まじ寮欲しい,2025/12/3 14:35,,3,,,
匿名,トイレにたまらないで欲しい。,2025/12/3 14:34,,0,,,
匿名,学食の回転率,2025/12/3 14:33,,0,,,
匿名,土日のバスの本数が少ないこと。,2025/12/3 14:33,,0,,,
匿名,部室をテスト期間にも空けられるようにして欲しい,2025/12/3 14:33,,2,,,
匿名,体操服で授業を受けさせてほしい,2025/12/3 14:33,,0,,,
匿名,バスで追い抜かしてくる人がいる,2025/12/3 14:31,,0,,,
匿名,バスの順番抜かし,2025/12/3 14:31,,0,,,
匿名,部室の空調設備や破損部位などの経費を出してほしい,2025/12/3 14:31,,0,,,
匿名,朝のバス無理やり入れないで欲しい。,2025/12/3 14:31,,0,,,
匿名,テストの日のバスの時間を調節して欲しい,2025/12/3 14:31,,0,,,
匿名,バスの並びを抜かす人が多い。,2025/12/3 14:31,,0,,,
匿名,強化指定のクラブにはクラブ寮を建設してほしい,2025/12/3 14:30,,4,,,
匿名,バスの追い抜かし テスト期間のバスが少ない,2025/12/3 14:30,,0,,,
匿名,はにわ格好,2025/12/3 14:30,,0,,,
匿名,クラブハウスの更衣室の冷暖房をつけれるようにしてほしい。着替え寒すぎて…,2025/12/3 14:30,,2,,,
匿名,体育がある日の体操服登校を許可してほしい。 更衣室が混む問題が解決していない,2025/12/3 12:05,,1,,,
匿名,はにわスタイルOKにして欲しい。あと学校のネット環境,2025/12/3 11:40,,0,,,
匿名,食堂が混みすぎている バスの追い抜かし,2025/12/3 11:35,,1,,,
匿名,食堂のレジが混みすぎている,2025/12/3 10:36,,0,,,
匿名,購買高い。,2025/12/3 9:47,,0,,,
匿名,大学の内部進学条件をもっと厳しくしていいとおもう,2025/12/7 21:03,,5,,,
匿名,行事の時のスマホの使用許可,2025/12/3 9:40,,0,,,
匿名,放課後の購買の時間,2025/12/3 9:40,,1,,,
匿名,バスの効率が悪い,2025/12/3 9:39,,0,,,
匿名,食堂混みすぎ,2025/12/3 9:39,,1,,,
匿名,定食が欲しいです,2025/12/3 9:38,,0,,,
匿名,食堂並ぶ時間が長すぎて食べる時間が全然ない。電子レンジの数も少なく時間がなくなる,2025/12/3 9:38,,1,,,
匿名,バス本数増やしてるけど時間が合ってない。 バスをもっと効率よく増やしてほしい,2025/12/3 9:38,,0,,,
匿名,食堂で抜かす奴がいる だいたい女子 あとだいたいそういう奴小頼みがち,2025/12/3 9:38,,5,,,
匿名,食堂のレジ待ちが長すぎる,2025/12/3 9:38,,0,,,
匿名,AMGLでも受験に対応できるような勉強の機会を増やしてほしい。 ,2025/12/3 9:37,,5,,,
匿名,食堂で担々麺を売って欲しい,2025/12/3 9:36,,0,,,
匿名,アイリスのタータンの割合を増やしてほしい,2025/12/3 9:36,,0,,,
匿名,すまほをつかいたい,2025/12/3 9:36,,0,,,
匿名,食堂の列に並ぶ時間がとても長い。体育祭、文化祭に並ぶ行事が3学期に欲しい。球技大会とか,2025/12/3 9:33,,0,,,
匿名,下校時の服装の自由（部活着も許可して欲しい）,2025/12/3 9:33,,1,,,
匿名,校則が緩くなりすぎてめちゃくちゃになってる。変えてよくなったところが見つからない,2025/12/3 9:33,,1,,,
匿名,食堂の進みが遅すぎる。生協だけじゃなくて食堂にもっと人を増やしてほしい。バス混みすぎ,2025/12/3 9:33,,0,,,
匿名,学年ごとのイベントが少ない,2025/12/3 9:33,,0,,,
匿名,部室があるところの給水機が壊れている,2025/12/3 9:32,,0,,,
匿名,ハニワが許されてほしい。レギンスとかじゃ寒いので,2025/12/3 9:32,,0,,,
匿名,時計が見えづらくて不便,2025/12/3 9:32,,0,,,
匿名,食堂の列,2025/12/3 9:32,,0,,,
匿名,食堂、バスの混雑,2025/12/3 9:32,,0,,,
匿名,テスト前やテスト後のバス増便をいち早く 校則を戻して,2025/12/3 9:31,,0,,,
匿名,バスの本数増やして,2025/12/3 9:31,,0,,,
水嶋謙一朗,Wi-Fiの聞きやすさの差がすごい,2025/12/3 9:31,,0,,,
匿名,7限終了後の時間の帰りのバスを増やしてほしい,2025/12/3 9:31,,0,,,
匿名,食堂の待ち時間を減らしてほしい,2025/12/3 9:31,,0,,,
匿名,食堂の行列をどうにかしてほしい。,2025/12/3 9:31,,0,,,
匿名,廊下狭い 食堂の列長い,2025/12/3 9:30,,0,,,
匿名,自習室の椅子変えて欲しい,2025/12/3 9:30,,0,,,
匿名,治安 私服登校(寒暖対策があまりないためよく風邪をひくため),2025/12/3 9:30,,0,,,
匿名,球技大会がしたい,2025/12/3 9:30,,1,,,
匿名,使うべきところにお金を使ってほしい,2025/12/3 9:30,,0,,,
匿名,全校集会の時のロッカーの混雑をどうにかして欲しい,2025/12/3 9:29,,0,,,
匿名,バスの本数増やして欲しい,2025/12/3 9:29,,0,,,
匿名,駐輪場のくもの巣がひどい。,2025/12/3 9:29,,0,,,
匿名,食堂の回転率,2025/12/3 9:29,,0,,,
匿名,バスと食堂の待ち時間が長い,2025/12/3 9:29,,0,,,
匿名,自習室の椅子変えてほしい,2025/12/3 9:29,,0,,,
匿名,食堂の列の待ち時間 テスト日のバスの本数,2025/12/3 9:29,,0,,,
匿名,食堂のレジを増やしてほしい,2025/12/3 9:29,,0,,,
匿名,バスの本数増やしてほしい,2025/12/3 9:29,,0,,,
匿名,机の引き出し、横のフックがないことが不便,2025/12/3 9:29,,0,,,
匿名,購買が高い バス待ちのときに抜かされる。とくに女子バスケ部やアメフト部,2025/12/3 9:29,,1,,,
匿名,バスの順番を抜かす人が多発している,2025/12/3 9:29,,0,,,
匿名,バス,2025/12/3 9:29,,0,,,
匿名,テニスコートが土ですべりやすくケガが増えるため人工芝にしてほしい,2025/12/3 9:29,,0,,,
匿名,教室の時計を増やして欲しい,2025/12/3 9:29,,0,,,
匿名,文化系(将棋など)の学校大会を開催したい,2025/12/3 9:29,,1,,,
匿名,行事ごとでスマホをおっけいにしてほしい,2025/12/3 9:29,,1,,,
匿名,体育館の下駄箱が混む,2025/12/3 9:29,,0,,,
匿名,なし,2025/12/3 9:29,,0,,,
匿名,テストの間はバスの時間を見直してほしい,2025/12/3 9:29,,0,,,
匿名,生協でレジ待ち列が商品の前にあるから商品を取りずらい,2025/12/3 9:28,,0,,,
匿名,行事でのスマホの使用を許可して欲しい,2025/12/3 9:28,,0,,,
匿名,食堂をもうちょい並ばないようにしてほしい。,2025/12/3 9:28,,0,,,
匿名,食堂の回転率どうにかして,2025/12/3 9:28,,0,,,
匿名,食堂のメニューを増やしてほしい,2025/12/3 9:28,,0,,,
匿名,２学期の行事が欲しい,2025/12/3 9:28,,0,,,
匿名,自販機増やして欲しい,2025/12/3 9:28,,0,,,
匿名,自転車ほんまにめちゃ寒いから、はにわOKにして欲しいです,2025/12/3 9:28,,0,,,
松田一求,せめて行事の時にスマホOKにしてほしい バスの行列を抜かすのをどうにかして欲しい,2025/12/3 9:28,,1,,,
匿名,Wi-Fiの通信が遅い点,2025/12/3 9:28,,0,,,
匿名,外に置いてあるウォーターサーバーが故障したまま放置されているものが多いので直してほしい,2025/12/3 9:28,,0,,,
匿名,体操服で授業受けたい。Wi-Fi弱い,2025/12/3 9:28,,0,,,
匿名,机に引き出しがなかったりで不便,2025/12/3 9:28,,0,,,
匿名,教室の前にベンチが欲しい,2025/12/3 9:28,,0,,,
匿名,購買のパンの種類もっと増やして欲しい,2025/12/3 9:28,,0,,,
匿名,バスで順番を抜かす人が多い,2025/12/3 9:28,,1,,,
匿名,食堂の列が長い,2025/12/3 9:28,,2,,,
匿名,学食人多い,2025/12/3 9:28,,1,,,
匿名,行事増やして欲しい。,2025/12/3 9:28,,1,,,
匿名,食堂の回転率をあげてほしい,2025/12/3 9:28,,1,,,
匿名,部活内独自のルールはいいの？ 良いのであれば、独自のルールを認めると校則に書いて欲しい,2025/12/3 9:28,,3,,,
匿名,バスの待ち時間が長い,2025/12/3 9:28,,1,,,
匿名,バスの順番が抜かされる。,2025/12/3 9:28,,1,,,
匿名,食堂のレジを増やして欲しい,2025/12/3 9:27,,1,,,
匿名,スマホ使用ok 食堂・購買の混雑を減らす,2025/12/3 9:27,,1,,,
匿名,購買でもっと品揃えをよくしてほしい,2025/12/3 9:27,,1,,,
匿名,バスの本数を増やして欲しい。,2025/12/3 9:27,,1,,,
匿名,食堂の列が全然進まない ,2025/12/3 9:27,,1,,,
匿名,帰りのバスが少ない,2025/12/3 9:27,,1,,,
匿名,食堂の丼の列が長すぎる 丼は人気だから、もう少し人手を増やしてほしい,2025/12/3 9:27,,2,,,
匿名,バスで抜かす人がいる,2025/12/3 9:27,,1,,,
匿名,バスの順番抜かしが多い。,2025/12/3 9:27,,1,,,
匿名,バスの本数がすこし少なくてテスト期間中は行列ができてしまう,2025/12/3 9:27,,2,,,
